Date,Ticker,Close,Volume,Return,Volatility,RSI,MA5,MA10,MA_ratio,Volume_Avg20,Volume_Spike,Momentum3,ATR14,DayOfWeek,Month,Surprise_%,CumulativeReturn5,CumulativeReturn20,MA_CrossGap,PositiveDays_5,VolatilityChange,Skew5,HighVol,VolatilityJump,VolPriceCorr20,VolumeDivergence,SurpriseDecay5,EventShock,DaysSinceEarnings,MomentumVolRatio,EarningsImpactMag,Target
2020-08-05,FISV,98.0,5283200.0,-0.016557967893762737,0.008797165266304927,43.91246071832265,99.68600006103516,100.36700057983398,-0.006785103817635196,4060355.0,0.30116701618454544,-0.017937678115090727,2.5841964720834416,2,8,-0.09,-0.03354049091775202,0.01205658110125718,-0.006948984885702299,0.2,-0.19346493048372193,1.1622115423694668,0,0.40360098490616503,0.2490028514546787,-0.30116701618454544,-0.018,1,0.0,-2.0390291114305708,0.0007917448739674434,1
2020-10-27,FISV,96.61000061035156,6889300.0,-0.01799142805937526,0.017072810214479404,38.957956478972086,99.28199920654296,100.04199905395508,-0.0075968078866779365,3848190.0,0.7902702309397405,-0.042327485718896884,2.814526610995208,1,10,3.62,-0.02910118739500689,-0.06749422746158829,-0.00786667883874007,0.4,0.042067880605552554,-0.1734491117322613,0,0.10769634018046048,-0.423412717961507,-0.7902702309397405,0.724,1,0.0,-2.4792335126976077,0.06180357297641544,0
2021-02-09,FISV,113.44999694824219,3774700.0,0.0004408767344845632,0.008137522677220616,59.238398004860144,112.30199890136718,108.91899948120117,0.031059773191819406,5266415.0,-0.2832505603907022,0.010780462468836571,2.88496164770005,1,2,0.76,0.030925653902368233,-0.010602324991294432,0.029819299349204895,0.8,-0.4021198317608581,1.092460400815974,0,0.0875379667005034,-0.3197303789294639,-0.2832505603907022,0.152,1,0.0,1.3247841599545005,0.006184517234687668,0
2021-04-27,FISV,121.66000366210938,9036900.0,-0.03864084766278886,0.019612847260502633,44.31756496280092,124.73600006103516,124.78399887084962,-0.00038465516611740913,3871125.0,1.3344376634699215,-0.023830487497079167,2.2354472611752905,1,4,3.71,-0.022716953657003658,0.0029102268769817252,-0.0003945323719352138,0.6,2.2727508752853427,-1.9212435150129665,1,0.48930691786331093,-0.6646023467388122,-1.3344376634699215,0.742,1,0.0,-1.2150447084766487,0.07276366333646477,1
2021-07-27,FISV,114.68000030517578,8285000.0,0.029905719593059654,0.013432979093596229,63.27198860615465,111.58200073242188,110.51500015258789,0.009654803224546704,3838160.0,1.1585864059862017,0.042071759427761535,2.141160239878139,1,7,7.04,0.052897017812170266,0.06103009786905578,0.009304155711497944,0.8,0.29929188177426846,0.5414137518761581,1,-0.19096084920468792,0.2087737193097119,1.1585864059862017,1.408,1,0.0,3.1319751190443577,0.09456817281891745,0
2021-10-27,FISV,98.83000183105469,19436400.0,-0.10023666127015252,0.045123614594297035,29.19895233628324,108.02400054931641,108.9110008239746,-0.008144267043251108,3600125.0,4.398812541231207,-0.10301323690945674,3.133445709378812,2,10,1.34,-0.10259043516915423,-0.10559405771799035,-0.008975010201603332,0.6,4.383885031560752,-2.10190931382045,1,0.5808650247977629,-0.8475876943959706,-4.398812541231207,0.268,1,0.0,-2.282911853421518,0.06046564355635803,0
2021-11-01,L,57.099998474121094,878000.0,0.018369873103315726,0.019447286948071577,54.96893115832656,56.49599990844727,57.07500038146973,-0.010144554869077838,533400.0,0.6460442444694414,0.027163128573276518,1.0184563329617184,0,11,0.0,-0.008988855112413652,0.038522695228912385,-0.010140113633888729,0.4,0.19282578133879658,-0.5596671209666948,1,0.056697915141014965,0.2938261417402527,0.6460442444694414,0.0,0,0.0,1.3967566400933584,0.0,1
2022-02-07,L,60.83000183105469,881500.0,-0.007181306078368532,0.010257103066294883,58.67317676553996,61.034000396728516,59.89600028991699,0.01899960099678144,652635.0,0.35067840370191616,-0.009121967163403744,1.391727075269868,0,2,0.0,0.019668598559954176,0.001911044632727843,0.018707875596849936,0.6,0.18678273010790503,0.1283884781713211,0,0.07439927201148167,0.5162749152231719,-0.35067840370191616,0.0,0,0.0,-0.8893316382914327,0.0,1
2022-02-08,FISV,99.54000091552734,8846900.0,-0.05996787714347518,0.026351346122769154,38.09334335333832,104.98999938964843,104.44499969482422,0.005218054444124931,4393360.0,1.0136979441702931,-0.06341736865998604,3.2842422340587176,1,2,0.88,-0.08546679422859604,-0.07462049632521506,0.005475182738713417,0.2,0.3959801807954817,-1.2918741758862222,1,0.22122410976098417,-0.6057426301538286,-1.0136979441702931,0.176,1,0.0,-2.4066082225143477,0.023189184588036857,1
2022-04-27,FISV,100.93000030517578,5784900.0,0.050260165533253076,0.033672461042389995,52.87536619234703,98.75599975585938,99.6359992980957,-0.00883214449030112,2833905.0,1.041317545930439,0.03666803279009678,2.620044798090305,2,4,3.56,-0.0032805124567312216,-0.017148978821159844,-0.008718909537060534,0.4,0.8623403978537711,0.7018339753150902,1,0.18004266954826242,0.3349591553401849,1.041317545930439,0.712,1,0.0,1.0889620350283769,0.11987396131090838,1
2022-05-03,SMCI,4.322999954223633,4112000.0,0.019575515940082333,0.019493669695386073,59.50605001663857,4.246999931335449,4.265099954605103,-0.004243751251388761,3398150.0,0.21007018524785548,0.005816681290930603,0.18387996513785798,1,5,38.7,0.04786185181213154,0.16174156684043317,-0.004186912667433489,0.8,-0.2713433003604431,-0.8203785344768164,0,1.4969105716071147,0.8066090509450489,0.21007018524785548,7.74,1,0.0,0.2983881990120693,0.754405017211441,1
